sweep,value,config_tag,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
gamma,1.0,final,Zoo,8,0.03282500000000003,0.97,5,176.94307662500069
gamma,0.75,final,ColonCancer,9,0.0816215384615385,0.9192307692307692,332,405.0081215829123
gamma,1.0,final,Zoo,9,0.022924999999999907,0.9800000000000001,5,176.23147329199128
gamma,1.0,final,Sonar,0,0.13849477351916378,0.8651567944250871,30,260.2323314589448
gamma,1.0,final,Sonar,1,0.10841579558652734,0.8941927990708478,22,264.8649863752071
gamma,1.0,final,Sonar,2,0.12105865272938442,0.8799070847851336,13,212.4623152089771
gamma,1.0,final,Sonar,4,0.1343281068524971,0.8651567944250871,5,214.77853129198775
gamma,1.0,final,Sonar,7,0.13863414634146343,0.8609756097560975,6,209.9262775410898
gamma,1.0,final,Sonar,3,0.1125150987224158,0.8895470383275261,19,263.03981762495823
gamma,1.0,final,Sonar,5,0.14591173054587692,0.8559814169570267,20,260.06719679082744
gamma,1.0,final,Sonar,6,0.11538327526132401,0.8885017421602788,30,261.16549245803617
gamma,1.0,final,Sonar,9,0.12972880371660864,0.8698025551684088,5,182.10147608397529
gamma,1.0,final,Sonar,8,0.13055052264808362,0.870150987224158,12,227.47837912500836
gamma,1.0,final,ColonCancer,0,0.0805015384615384,0.9192307692307693,108,405.73519437504
gamma,1.0,final,ColonCancer,1,0.07929730769230774,0.9205128205128205,121,406.1806566659361
gamma,1.0,final,ColonCancer,2,0.06536076923076922,0.9346153846153846,126,406.4173333339859
gamma,1.0,final,ColonCancer,3,0.06402653846153845,0.9358974358974359,113,407.4243691249285
gamma,1.0,final,ColonCancer,4,0.0806815384615384,0.9192307692307693,144,406.6193337920122
gamma,1.0,final,ColonCancer,5,0.08188076923076916,0.917948717948718,130,404.8189514160622
gamma,1.0,final,ColonCancer,6,0.06532576923076922,0.9346153846153846,119,395.5800057919696
gamma,1.0,final,ColonCancer,7,0.06276230769230769,0.9371794871794872,114,393.0622601250652
umr_k,2.0,final,Zoo,0,0.026049999999999907,0.9800000000000001,10,152.71303187520243
umr_k,2.0,final,Zoo,1,0.01677500000000001,0.99,11,155.17706675012596
umr_k,2.0,final,Zoo,2,0.022924999999999907,0.9800000000000001,5,162.67059858422726
umr_k,2.0,final,Zoo,3,0.022453571428571403,0.9804761904761905,5,165.7746621670667
umr_k,2.0,final,Zoo,4,0.03250714285714291,0.9709523809523809,6,181.55667470907792
umr_k,2.0,final,Zoo,5,0.03282500000000003,0.97,5,181.6568475421518
umr_k,2.0,final,Zoo,6,0.023549999999999908,0.9800000000000001,6,180.2054890829604
gamma,1.0,final,ColonCancer,8,0.06402153846153846,0.9358974358974359,112,389.7923491669353
umr_k,2.0,final,Zoo,7,0.022453571428571403,0.9804761904761905,5,178.82094654184766
gamma,1.0,final,ColonCancer,9,0.06410153846153846,0.9358974358974359,128,389.1564034160692
umr_k,2.0,final,Zoo,8,0.022924999999999907,0.9800000000000001,5,174.5652889998164
umr_k,2.0,final,Zoo,9,0.022924999999999907,0.9800000000000001,5,171.91482470789924
umr_k,2.0,final,Sonar,0,0.11152671312427417,0.8891986062717769,11,326.5488300421275
umr_k,2.0,final,Sonar,1,0.10658246225319401,0.8941927990708478,11,333.50621445919387
umr_k,2.0,final,Sonar,2,0.10657084785133573,0.8945412311265969,13,325.7304609580897
umr_k,2.0,final,Sonar,3,0.09692392566782815,0.9039488966318234,11,320.36003879085183
umr_k,2.0,final,Sonar,4,0.1126416957026714,0.8890824622531939,17,333.06181137496606
umr_k,2.0,final,Sonar,5,0.11252671312427416,0.8891986062717769,17,339.7743476249743
umr_k,2.0,final,Sonar,6,0.0982171893147504,0.9034843205574912,16,339.88741850014776
umr_k,2.0,final,Sonar,7,0.11662601626016264,0.8845528455284553,14,331.27641391707584
umr_k,2.0,final,Sonar,8,0.0981538908246226,0.9037166085946573,17,334.59786112513393
umr_k,2.0,final,Sonar,9,0.11219337979094084,0.8891986062717769,15,332.2073916248046
umr_k,2.0,final,ColonCancer,0,0.11568153846153839,0.885897435897436,544,444.30493933311664
umr_k,2.0,final,ColonCancer,1,0.1627330769230769,0.8384615384615385,562,445.9016692498699
