beta,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
0.0,Leukemia,1,0.014142857142857092,0.9857142857142858,1829,3571,173.3129515410401
0.0,Leukemia,3,0.013199999999999976,0.9866666666666667,1170,3571,167.17427737498656
0.0,Leukemia,4,0.014142857142857092,0.9857142857142858,1750,3571,175.7457948331721
0.0,Leukemia,5,0.013199999999999976,0.9866666666666667,1806,3571,178.26064916606992
0.0,Leukemia,6,0.013199999999999976,0.9866666666666667,1798,3571,178.58421116694808
0.0,Leukemia,7,0.014142857142857092,0.9857142857142858,1782,3571,178.79314454086125
0.0,Leukemia,8,0.013199999999999976,0.9866666666666667,1025,3571,170.46317354217172
0.0,Leukemia,9,0.013199999999999976,0.9866666666666667,998,3571,171.28294975031167
0.0,Leukemia,10,0.013199999999999976,0.9866666666666667,1060,3571,173.33368658274412
0.0,Leukemia,11,0.014142857142857092,0.9857142857142858,990,3571,170.78378341672942
0.0,Leukemia,12,0.014142857142857092,0.9857142857142858,1757,3571,177.87096808291972
0.0,Leukemia,14,0.014142857142857092,0.9857142857142858,1094,3571,174.7169286669232
0.0,Leukemia,13,0.013199999999999976,0.9866666666666667,1763,3571,179.2990813748911
0.0,Leukemia,15,0.014142857142857092,0.9857142857142858,1800,3571,181.2484355829656
0.0,Leukemia,16,0.013199999999999976,0.9866666666666667,1153,3571,173.3671719590202
0.0,Leukemia,17,0.014142857142857092,0.9857142857142858,1096,3571,172.7205217089504
0.0,Leukemia,18,0.014142857142857092,0.9857142857142858,1741,3571,179.66651829099283
0.0,Leukemia,19,0.014142857142857092,0.9857142857142858,1791,3571,181.94990895781666
0.0,Leukemia,20,0.014142857142857092,0.9857142857142858,1805,3571,179.3089604577981
0.0,Leukemia,22,0.014142857142857092,0.9857142857142858,980,3571,172.76020949985832
0.0,Leukemia,21,0.014142857142857092,0.9857142857142858,1807,3571,179.95162429194897
0.0,Leukemia,23,0.013199999999999976,0.9866666666666667,1213,3571,174.87112683290616
0.0,Leukemia,25,0.014142857142857092,0.9857142857142858,1180,3571,170.80521358409896
0.0,Leukemia,24,0.014142857142857092,0.9857142857142858,1815,3571,176.44731133431196
0.0,Leukemia,26,0.014142857142857092,0.9857142857142858,1756,3571,174.08678741613403
0.0,Leukemia,27,0.013199999999999976,0.9866666666666667,1062,3571,169.11070687510073
0.0,Leukemia,28,0.014142857142857092,0.9857142857142858,1088,3571,158.89371983427554
