algorithm,dataset,metric,mean,std,best,worst
PSO,IonosphereEW,n_selected_features,16.366666666666667,3.664999621039847,26.0,10.0
RG-SCSO,IonosphereEW,accuracy,0.9140563380281691,0.006753654529272327,0.9259557344064384,0.9030985915492956
RG-SCSO,IonosphereEW,fitness,0.08734893123446555,0.006793882178976594,0.0748142502071251,0.0988735708367852
RG-SCSO,IonosphereEW,n_selected_features,7.7,1.7349351572897471,11.0,4.0
RIME,IonosphereEW,accuracy,0.8513615023474178,0.01872605258705554,0.8833400402414486,0.8090140845070423
RIME,IonosphereEW,fitness,0.15219132836233085,0.018895764682555338,0.1194364066753462,0.1939167002012073
RIME,IonosphereEW,n_selected_features,17.133333333333333,3.694440267332643,26.0,10.0
SCSO,IonosphereEW,accuracy,0.8510744466800805,0.023159717399905657,0.8944466800804829,0.8035412474849096
SCSO,IonosphereEW,fitness,0.1523578664141713,0.02359363271208487,0.1068507278967925,0.2000824002840571
SCSO,IonosphereEW,n_selected_features,16.733333333333334,3.60493488922554,23.0,6.0
SSA,IonosphereEW,accuracy,0.2525070422535211,0.3875137107431999,0.9117505030181086,0.0
SSA,IonosphereEW,fitness,0.7474101850317592,0.3875799287488777,0.0885434726003078,1.0
SSA,IonosphereEW,n_selected_features,1.3333333333333333,2.736583433569839,13.0,0.0
WOA,IonosphereEW,accuracy,0.19183501006036216,0.34824859353214105,0.8631790744466802,0.0
WOA,IonosphereEW,fitness,0.8079166733735748,0.3486821438481014,0.1360409515919042,1.0
WOA,IonosphereEW,n_selected_features,0.5666666666666667,1.2827920936595905,6.0,0.0
AOA,KrVsKpEW,accuracy,0.9299969353155972,0.00959112209494292,0.9405540884194054,0.8814192097026604
AOA,KrVsKpEW,fitness,0.07926493879946342,0.009353516845861371,0.0688514524647887,0.1265378395372233
AOA,KrVsKpEW,n_selected_features,34.86666666666667,0.5617433182117573,35.0,32.0
