group,compared_with,p_value,ECL-SCSO_mean,other_mean,mark
WDBC,COA,0.3654490375803874,0.9549531646224706,0.949443150649485,=
WDBC,GA,0.06267586766843032,0.9549531646224706,0.9502680743155825,=
WDBC,GWO,0.9753865135681143,0.9549531646224706,0.9553651089375357,=
WDBC,HHO,0.9676735773682594,0.9549531646224706,0.7988329969466439,=
WDBC,OOA,0.08588753510105192,0.9549531646224706,0.7239657403094757,=
WDBC,PSO,0.4404732431721411,0.9549531646224706,0.9577726025979404,=
WDBC,SCSO,0.017030271145764695,0.9549531646224706,0.9618718625472235,-
WDBC,SSA,0.30437241089978706,0.9549531646224706,0.7976654763753039,=
WDBC,WOA,0.005489707648079002,0.9549531646224706,0.7975485173109764,+
WaveformEW,AOA,0.0001528710126876831,0.74066,0.77246,-
WaveformEW,COA,0.03079336523849907,0.74066,0.7626999999999999,-
WaveformEW,GA,1.862645149230957e-09,0.74066,0.60976,+
WaveformEW,GWO,0.00018860027194023132,0.74066,0.6837133333333333,+
WaveformEW,HHO,0.5425279382616282,0.74066,0.6725600000000002,=
WaveformEW,OOA,0.04949202626681319,0.74066,0.7201466666666667,+
WaveformEW,PSO,0.0635564886033535,0.74066,0.7073933333333335,=
WaveformEW,SCSO,0.3284698575735092,0.74066,0.7177666666666667,=
WaveformEW,SSA,0.4399667661637068,0.74066,0.7257666666666666,=
WaveformEW,WOA,0.022098854184150696,0.74066,0.7565733333333334,-
Zoo,AOA,2.252474923536658e-05,0.8763174603174604,0.9299206349206349,-
Zoo,COA,0.7326568349097614,0.8763174603174604,0.8811111111111111,=
Zoo,GA,1.1253369783752994e-05,0.8763174603174604,0.7510952380952381,+
Zoo,GWO,0.005488467651801251,0.8763174603174604,0.8293015873015874,+
Zoo,HHO,0.2363679323076886,0.8763174603174604,0.7558095238095238,=
Zoo,OOA,0.055657319311487735,0.8763174603174604,0.8758730158730158,=
Zoo,PSO,0.15581434863817367,0.8763174603174604,0.8565396825396826,=
Zoo,SCSO,0.812997438244508,0.8763174603174604,0.8643015873015873,=
Zoo,SSA,0.797082557901191,0.8763174603174604,0.774888888888889,=
Zoo,WOA,0.29926788563541074,0.8763174603174604,0.8599999999999999,=
